tdb,tr,rh,v,met,clo,v_r,clo_d,ac
20,20,70,0.0,1.4,0.54,0.12,0.478,0
20,20,70,0.0,1.4,0.57,0.12,0.505,0
20,20,70,0.0,1.4,0.61,0.12,0.54,0
20,20,70,0.0,1.4,0.67,0.12,0.593,0
20,20,70,0.0,1.4,0.74,0.12,0.655,0
20,20,70,0.0,2,0.36,0.3,0.288,0
20,20,70,0.0,2,0.5,0.3,0.4,0
20,20,70,0.0,2,0.54,0.3,0.432,0
20,20,70,0.0,2,0.57,0.3,0.456,0
20,20,70,0.0,2,0.61,0.3,0.488,0
20,20,70,0.0,2,0.67,0.3,0.536,0
20,20,70,0.0,2,0.74,0.3,0.592,0
20,20,70,0.0,2.2,0.36,0.36,0.281,0
20,20,70,0.0,2.2,0.5,0.36,0.391,0
20,20,70,0.0,2.2,0.54,0.36,0.422,0
20,20,70,0.0,2.2,0.57,0.36,0.446,0
20,20,70,0.0,2.2,0.61,0.36,0.477,0
20,20,70,0.0,2.2,0.67,0.36,0.524,0
20,20,70,0.0,2.2,0.74,0.36,0.579,0
20,20,70,0.0,2.6,0.36,0.48,0.271,0
20,20,70,0.0,2.6,0.5,0.48,0.377,0
20,20,70,0.0,2.6,0.54,0.48,0.407,0
20,20,70,0.0,2.6,0.57,0.48,0.43,0
20,20,70,0.0,2.6,0.61,0.48,0.46,0
20,20,70,0.0,2.6,0.67,0.48,0.505,0
20,20,70,0.0,2.6,0.74,0.48,0.558,0
20,20,70,0.0,3,0.36,0.6,0.264,0
20,20,70,0.0,3,0.5,0.6,0.367,0
20,20,70,0.0,3,0.54,0.6,0.396,0
20,20,70,0.0,3,0.57,0.6,0.418,0
20,20,70,0.0,3,0.61,0.6,0.447,0
20,20,70,0.0,3,0.67,0.6,0.491,0
20,20,70,0.0,3,0.74,0.6,0.543,0
20,20,70,0.25,1.2,0.36,0.31,0.36,0
20,20,70,0.25,1.2,0.5,0.31,0.5,0
20,20,70,0.25,1.2,0.54,0.31,0.54,0
20,20,70,0.25,1.2,0.57,0.31,0.57,0
20,20,70,0.25,1.2,0.61,0.31,0.61,0
20,20,70,0.25,1.2,0.67,0.31,0.67,0
20,20,70,0.25,1.2,0.74,0.31,0.74,0
20,20,70,0.25,1.4,0.36,0.37,0.319,0
20,20,70,0.25,1.4,0.5,0.37,0.443,0
20,20,70,0.25,1.4,0.54,0.37,0.478,0
20,20,70,0.25,1.4,0.57,0.37,0.505,0
20,20,70,0.25,1.4,0.61,0.37,0.54,0
20,20,70,0.25,1.4,0.67,0.37,0.593,0
20,20,70,0.25,1.4,0.74,0.37,0.655,0
20,20,70,0.25,2,0.36,0.55,0.288,0
20,20,70,0.25,2,0.5,0.55,0.4,0
20,20,70,0.25,2,0.54,0.55,0.432,0
20,20,70,0.25,2,0.57,0.55,0.456,0
20,20,70,0.25,2,0.61,0.55,0.488,0
20,20,70,0.25,2,0.67,0.55,0.536,0
20,20,70,0.25,2,0.74,0.55,0.592,0
20,20,70,0.25,2.2,0.36,0.61,0.281,0
20,20,70,0.25,2.2,0.5,0.61,0.391,0
20,20,70,0.25,2.2,0.54,0.61,0.422,0
20,20,70,0.25,2.2,0.57,0.61,0.446,0
20,20,70,0.25,2.2,0.61,0.61,0.477,0
20,20,70,0.25,2.2,0.67,0.61,0.524,0
20,20,70,0.25,2.2,0.74,0.61,0.579,0
20,20,70,0.25,2.6,0.36,0.73,0.271,0
20,20,70,0.25,2.6,0.5,0.73,0.377,0
20,20,70,0.25,2.6,0.54,0.73,0.407,0
20,20,70,0.25,2.6,0.57,0.73,0.43,0
20,20,70,0.25,2.6,0.61,0.73,0.46,0
20,20,70,0.25,2.6,0.67,0.73,0.505,0
20,20,70,0.25,2.6,0.74,0.73,0.558,0
20,20,70,0.25,3,0.36,0.85,0.264,0
20,20,70,0.25,3,0.5,0.85,0.367,0
20,20,70,0.25,3,0.54,0.85,0.396,0
20,20,70,0.25,3,0.57,0.85,0.418,0
20,20,70,0.25,3,0.61,0.85,0.447,0
20,20,70,0.25,3,0.67,0.85,0.491,0
20,20,70,0.25,3,0.74,0.85,0.543,0
20,20,70,0.5,1.2,0.36,0.56,0.36,0
20,20,70,0.5,1.2,0.5,0.56,0.5,0
20,20,70,0.5,1.2,0.54,0.56,0.54,0
20,20,70,0.5,1.2,0.57,0.56,0.57,0
20,20,70,0.5,1.2,0.61,0.56,0.61,0
20,20,70,0.5,1.2,0.67,0.56,0.67,0
20,20,70,0.5,1.2,0.74,0.56,0.74,0
20,20,70,0.5,1.4,0.36,0.62,0.319,0
20,20,70,0.5,1.4,0.5,0.62,0.443,0
20,20,70,0.5,1.4,0.54,0.62,0.478,0
20,20,70,0.5,1.4,0.57,0.62,0.505,0
20,20,70,0.5,1.4,0.61,0.62,0.54,0
20,20,70,0.5,1.4,0.67,0.62,0.593,0
20,20,70,0.5,1.4,0.74,0.62,0.655,0
20,20,70,0.5,2,0.36,0.8,0.288,0
20,20,70,0.5,2,0.5,0.8,0.4,0
20,20,70,0.5,2,0.54,0.8,0.432,0
20,20,70,0.5,2,0.57,0.8,0.456,0
20,20,70,0.5,2,0.61,0.8,0.488,0
20,20,70,0.5,2,0.67,0.8,0.536,0
20,20,70,0.5,2,0.74,0.8,0.592,0
20,20,70,0.5,2.2,0.36,0.86,0.281,0
20,20,70,0.5,2.2,0.5,0.86,0.391,0
20,20,70,0.5,2.2,0.54,0.86,0.422,0
20,20,70,0.5,2.2,0.57,0.86,0.446,0
20,20,70,0.5,2.2,0.61,0.86,0.477,0
20,20,70,0.5,2.2,0.67,0.86,0.524,0
20,20,70,0.5,2.2,0.74,0.86,0.579,0
20,20,70,0.5,2.6,0.36,0.98,0.271,0
20,20,70,0.5,2.6,0.5,0.98,0.377,0
20,20,70,0.5,2.6,0.54,0.98,0.407,0
20,20,70,0.5,2.6,0.57,0.98,0.43,0
20,20,70,0.5,2.6,0.61,0.98,0.46,0
20,20,70,0.5,2.6,0.67,0.98,0.505,0
20,20,70,0.5,2.6,0.74,0.98,0.558,0
20,20,70,0.5,3,0.36,1.1,0.264,0
20,20,70,0.5,3,0.5,1.1,0.367,0
20,20,70,0.5,3,0.54,1.1,0.396,0
20,20,70,0.5,3,0.57,1.1,0.418,0
20,20,70,0.5,3,0.61,1.1,0.447,0
20,20,70,0.5,3,0.67,1.1,0.491,0
20,20,70,0.5,3,0.74,1.1,0.543,0
20,20,80,0.0,1.2,0.36,0.06,0.36,0
20,20,80,0.0,1.2,0.5,0.06,0.5,0
20,20,80,0.0,1.2,0.54,0.06,0.54,0
20,20,80,0.0,1.2,0.57,0.06,0.57,0
20,20,80,0.0,1.2,0.61,0.06,0.61,0
20,20,80,0.0,1.2,0.67,0.06,0.67,0
20,20,80,0.0,1.2,0.74,0.06,0.74,0
20,20,80,0.0,1.4,0.36,0.12,0.319,0
20,20,80,0.0,1.4,0.5,0.12,0.443,0
20,20,80,0.0,1.4,0.54,0.12,0.478,0
20,20,80,0.0,1.4,0.57,0.12,0.505,0
20,20,80,0.0,1.4,0.61,0.12,0.54,0
20,20,80,0.0,1.4,0.67,0.12,0.593,0
20,20,80,0.0,1.4,0.74,0.12,0.655,0
20,20,80,0.0,2,0.36,0.3,0.288,0
20,20,80,0.0,2,0.5,0.3,0.4,0
20,20,80,0.0,2,0.54,0.3,0.432,0
20,20,80,0.0,2,0.57,0.3,0.456,0
20,20,80,0.0,2,0.61,0.3,0.488,0
20,20,80,0.0,2,0.67,0.3,0.536,0
20,20,80,0.0,2,0.74,0.3,0.592,0
20,20,80,0.0,2.2,0.36,0.36,0.281,0
20,20,80,0.0,2.2,0.5,0.36,0.391,0
20,20,80,0.0,2.2,0.54,0.36,0.422,0
20,20,80,0.0,2.2,0.57,0.36,0.446,0
20,20,80,0.0,2.2,0.61,0.36,0.477,0
20,20,80,0.0,2.2,0.67,0.36,0.524,0
20,20,80,0.0,2.2,0.74,0.36,0.579,0
20,20,80,0.0,2.6,0.36,0.48,0.271,0
20,20,80,0.0,2.6,0.5,0.48,0.377,0
20,20,80,0.0,2.6,0.54,0.48,0.407,0
20,20,80,0.0,2.6,0.57,0.48,0.43,0
20,20,80,0.0,2.6,0.61,0.48,0.46,0
20,20,80,0.0,2.6,0.67,0.48,0.505,0
20,20,80,0.0,2.6,0.74,0.48,0.558,0
20,20,80,0.0,3,0.36,0.6,0.264,0
20,20,80,0.0,3,0.5,0.6,0.367,0
20,20,80,0.0,3,0.54,0.6,0.396,0
20,20,80,0.0,3,0.57,0.6,0.418,0
20,20,80,0.0,3,0.61,0.6,0.447,0
20,20,80,0.0,3,0.67,0.6,0.491,0
20,20,80,0.0,3,0.74,0.6,0.543,0
20,20,80,0.25,1.2,0.36,0.31,0.36,0
20,20,80,0.25,1.2,0.5,0.31,0.5,0
20,20,80,0.25,1.2,0.54,0.31,0.54,0
20,20,80,0.25,1.2,0.57,0.31,0.57,0
20,20,80,0.25,1.2,0.61,0.31,0.61,0
20,20,80,0.25,1.2,0.67,0.31,0.67,0
20,20,80,0.25,1.2,0.74,0.31,0.74,0
20,20,80,0.25,1.4,0.36,0.37,0.319,0
20,20,80,0.25,1.4,0.5,0.37,0.443,0
20,20,80,0.25,1.4,0.54,0.37,0.478,0
20,20,80,0.25,1.4,0.57,0.37,0.505,0
20,20,80,0.25,1.4,0.61,0.37,0.54,0
20,20,80,0.25,1.4,0.67,0.37,0.593,0
20,20,80,0.25,1.4,0.74,0.37,0.655,0
20,20,80,0.25,2,0.36,0.55,0.288,0
20,20,80,0.25,2,0.5,0.55,0.4,0
20,20,80,0.25,2,0.54,0.55,0.432,0
20,20,80,0.25,2,0.57,0.55,0.456,0
20,20,80,0.25,2,0.61,0.55,0.488,0
20,20,80,0.25,2,0.67,0.55,0.536,0
20,20,80,0.25,2,0.74,0.55,0.592,0
20,20,80,0.25,2.2,0.36,0.61,0.281,0
20,20,80,0.25,2.2,0.5,0.61,0.391,0
20,20,80,0.25,2.2,0.54,0.61,0.422,0
20,20,80,0.25,2.2,0.57,0.61,0.446,0
20,20,80,0.25,2.2,0.61,0.61,0.477,0
20,20,80,0.25,2.2,0.67,0.61,0.524,0
20,20,80,0.25,2.2,0.74,0.61,0.579,0
20,20,80,0.25,2.6,0.36,0.73,0.271,0
20,20,80,0.25,2.6,0.5,0.73,0.377,0
20,20,80,0.25,2.6,0.54,0.73,0.407,0
20,20,80,0.25,2.6,0.57,0.73,0.43,0
20,20,80,0.25,2.6,0.61,0.73,0.46,0
20,20,80,0.25,2.6,0.67,0.73,0.505,0
20,20,80,0.25,2.6,0.74,0.73,0.558,0
20,20,80,0.25,3,0.36,0.85,0.264,0
20,20,80,0.25,3,0.5,0.85,0.367,0
20,20,80,0.25,3,0.54,0.85,0.396,0
20,20,80,0.25,3,0.57,0.85,0.418,0
20,20,80,0.25,3,0.61,0.85,0.447,0
20,20,80,0.25,3,0.67,0.85,0.491,0
20,20,80,0.25,3,0.74,0.85,0.543,0
20,20,80,0.5,1.2,0.36,0.56,0.36,0
20,20,80,0.5,1.2,0.5,0.56,0.5,0
20,20,80,0.5,1.2,0.54,0.56,0.54,0
20,20,80,0.5,1.2,0.57,0.56,0.57,0
20,20,80,0.5,1.2,0.61,0.56,0.61,0
20,20,80,0.5,1.2,0.67,0.56,0.67,0
20,20,80,0.5,1.2,0.74,0.56,0.74,0
20,20,80,0.5,1.4,0.36,0.62,0.319,0
20,20,80,0.5,1.4,0.5,0.62,0.443,0
20,20,80,0.5,1.4,0.54,0.62,0.478,0
20,20,80,0.5,1.4,0.57,0.62,0.505,0
20,20,80,0.5,1.4,0.61,0.62,0.54,0
20,20,80,0.5,1.4,0.67,0.62,0.593,0
20,20,80,0.5,1.4,0.74,0.62,0.655,0
20,20,80,0.5,2,0.36,0.8,0.288,0
20,20,80,0.5,2,0.5,0.8,0.4,0
20,20,80,0.5,2,0.54,0.8,0.432,0
20,20,80,0.5,2,0.57,0.8,0.456,0
20,20,80,0.5,2,0.61,0.8,0.488,0
20,20,80,0.5,2,0.67,0.8,0.536,0
20,20,80,0.5,2,0.74,0.8,0.592,0
20,20,80,0.5,2.2,0.36,0.86,0.281,0
20,20,80,0.5,2.2,0.5,0.86,0.391,0
20,20,80,0.5,2.2,0.54,0.86,0.422,0
20,20,80,0.5,2.2,0.57,0.86,0.446,0
20,20,80,0.5,2.2,0.61,0.86,0.477,0
20,20,80,0.5,2.2,0.67,0.86,0.524,0
20,20,80,0.5,2.2,0.74,0.86,0.579,0
20,20,80,0.5,2.6,0.36,0.98,0.271,0
20,20,80,0.5,2.6,0.5,0.98,0.377,0
20,20,80,0.5,2.6,0.54,0.98,0.407,0
20,20,80,0.5,2.6,0.57,0.98,0.43,0
20,20,80,0.5,2.6,0.61,0.98,0.46,0
20,20,80,0.5,2.6,0.67,0.98,0.505,0
20,20,80,0.5,2.6,0.74,0.98,0.558,0
20,20,80,0.5,3,0.36,1.1,0.264,0
20,20,80,0.5,3,0.5,1.1,0.367,0
20,20,80,0.5,3,0.54,1.1,0.396,0
20,20,80,0.5,3,0.57,1.1,0.418,0
20,20,80,0.5,3,0.61,1.1,0.447,0
20,20,80,0.5,3,0.67,1.1,0.491,0
20,20,80,0.5,3,0.74,1.1,0.543,0
20,20,90,0.0,1.2,0.36,0.06,0.36,0
20,20,90,0.0,1.2,0.5,0.06,0.5,0
20,20,90,0.0,1.2,0.54,0.06,0.54,0
20,20,90,0.0,1.2,0.57,0.06,0.57,0
20,20,90,0.0,1.2,0.61,0.06,0.61,0
20,20,90,0.0,1.2,0.67,0.06,0.67,0
20,20,90,0.0,1.2,0.74,0.06,0.74,0
20,20,90,0.0,1.4,0.36,0.12,0.319,0
20,20,90,0.0,1.4,0.5,0.12,0.443,0
20,20,90,0.0,1.4,0.54,0.12,0.478,0
20,20,90,0.0,1.4,0.57,0.12,0.505,0
20,20,90,0.0,1.4,0.61,0.12,0.54,0
20,20,90,0.0,1.4,0.67,0.12,0.593,0
20,20,90,0.0,1.4,0.74,0.12,0.655,0
20,20,90,0.0,2,0.36,0.3,0.288,0
20,20,90,0.0,2,0.5,0.3,0.4,0
20,20,90,0.0,2,0.54,0.3,0.432,0
20,20,90,0.0,2,0.57,0.3,0.456,0
20,20,90,0.0,2,0.61,0.3,0.488,0
20,20,90,0.0,2,0.67,0.3,0.536,0
20,20,90,0.0,2,0.74,0.3,0.592,0
20,20,90,0.0,2.2,0.36,0.36,0.281,0
20,20,90,0.0,2.2,0.5,0.36,0.391,0
20,20,90,0.0,2.2,0.54,0.36,0.422,0
20,20,90,0.0,2.2,0.57,0.36,0.446,0
20,20,90,0.0,2.2,0.61,0.36,0.477,0
20,20,90,0.0,2.2,0.67,0.36,0.524,0
20,20,90,0.0,2.2,0.74,0.36,0.579,0
20,20,90,0.0,2.6,0.36,0.48,0.271,0
20,20,90,0.0,2.6,0.5,0.48,0.377,0
20,20,90,0.0,2.6,0.54,0.48,0.407,0
20,20,90,0.0,2.6,0.57,0.48,0.43,0
20,20,90,0.0,2.6,0.61,0.48,0.46,0
20,20,90,0.0,2.6,0.67,0.48,0.505,0
20,20,90,0.0,2.6,0.74,0.48,0.558,0
20,20,90,0.0,3,0.36,0.6,0.264,0
20,20,90,0.0,3,0.5,0.6,0.367,0
20,20,90,0.0,3,0.54,0.6,0.396,0
20,20,90,0.0,3,0.57,0.6,0.418,0
20,20,90,0.0,3,0.61,0.6,0.447,0
20,20,90,0.0,3,0.67,0.6,0.491,0
20,20,90,0.0,3,0.74,0.6,0.543,0
20,20,90,0.25,1.2,0.36,0.31,0.36,0
20,20,90,0.25,1.2,0.5,0.31,0.5,0
20,20,90,0.25,1.2,0.54,0.31,0.54,0
20,20,90,0.25,1.2,0.57,0.31,0.57,0
20,20,90,0.25,1.2,0.61,0.31,0.61,0
20,20,90,0.25,1.2,0.67,0.31,0.67,0
20,20,90,0.25,1.2,0.74,0.31,0.74,0
20,20,90,0.25,1.4,0.36,0.37,0.319,0
20,20,90,0.25,1.4,0.5,0.37,0.443,0
20,20,90,0.25,1.4,0.54,0.37,0.478,0
20,20,90,0.25,1.4,0.57,0.37,0.505,0
20,20,90,0.25,1.4,0.61,0.37,0.54,0
20,20,90,0.25,1.4,0.67,0.37,0.593,0
20,20,90,0.25,1.4,0.74,0.37,0.655,0
20,20,90,0.25,2,0.36,0.55,0.288,0
20,20,90,0.25,2,0.5,0.55,0.4,0
20,20,90,0.25,2,0.54,0.55,0.432,0
20,20,90,0.25,2,0.57,0.55,0.456,0
20,20,90,0.25,2,0.61,0.55,0.488,0
20,20,90,0.25,2,0.67,0.55,0.536,0
20,20,90,0.25,2,0.74,0.55,0.592,0
20,20,90,0.25,2.2,0.36,0.61,0.281,0
20,20,90,0.25,2.2,0.5,0.61,0.391,0
20,20,90,0.25,2.2,0.54,0.61,0.422,0
20,20,90,0.25,2.2,0.57,0.61,0.446,0
20,20,90,0.25,2.2,0.61,0.61,0.477,0
20,20,90,0.25,2.2,0.67,0.61,0.524,0
20,20,90,0.25,2.2,0.74,0.61,0.579,0
20,20,90,0.25,2.6,0.36,0.73,0.271,0
20,20,90,0.25,2.6,0.5,0.73,0.377,0
20,20,90,0.25,2.6,0.54,0.73,0.407,0
20,20,90,0.25,2.6,0.57,0.73,0.43,0
20,20,90,0.25,2.6,0.61,0.73,0.46,0
20,20,90,0.25,2.6,0.67,0.73,0.505,0
20,20,90,0.25,2.6,0.74,0.73,0.558,0
20,20,90,0.25,3,0.36,0.85,0.264,0
20,20,90,0.25,3,0.5,0.85,0.367,0
20,20,90,0.25,3,0.54,0.85,0.396,0
20,20,90,0.25,3,0.57,0.85,0.418,0
20,20,90,0.25,3,0.61,0.85,0.447,0
20,20,90,0.25,3,0.67,0.85,0.491,0
20,20,90,0.25,3,0.74,0.85,0.543,0
20,20,90,0.5,1.2,0.36,0.56,0.36,0
20,20,90,0.5,1.2,0.5,0.56,0.5,0
20,20,90,0.5,1.2,0.54,0.56,0.54,0
20,20,90,0.5,1.2,0.57,0.56,0.57,0
20,20,90,0.5,1.2,0.61,0.56,0.61,0
20,20,90,0.5,1.2,0.67,0.56,0.67,0
20,20,90,0.5,1.2,0.74,0.56,0.74,0
20,20,90,0.5,1.4,0.36,0.62,0.319,0
20,20,90,0.5,1.4,0.5,0.62,0.443,0
20,20,90,0.5,1.4,0.54,0.62,0.478,0
20,20,90,0.5,1.4,0.57,0.62,0.505,0
20,20,90,0.5,1.4,0.61,0.62,0.54,0
20,20,90,0.5,1.4,0.67,0.62,0.593,0
20,20,90,0.5,1.4,0.74,0.62,0.655,0
20,20,90,0.5,2,0.36,0.8,0.288,0
20,20,90,0.5,2,0.5,0.8,0.4,0
20,20,90,0.5,2,0.54,0.8,0.432,0
20,20,90,0.5,2,0.57,0.8,0.456,0
20,20,90,0.5,2,0.61,0.8,0.488,0
20,20,90,0.5,2,0.67,0.8,0.536,0
20,20,90,0.5,2,0.74,0.8,0.592,0
20,20,90,0.5,2.2,0.36,0.86,0.281,0
20,20,90,0.5,2.2,0.5,0.86,0.391,0
20,20,90,0.5,2.2,0.54,0.86,0.422,0
20,20,90,0.5,2.2,0.57,0.86,0.446,0
20,20,90,0.5,2.2,0.61,0.86,0.477,0
20,20,90,0.5,2.2,0.67,0.86,0.524,0
20,20,90,0.5,2.2,0.74,0.86,0.579,0
20,20,90,0.5,2.6,0.36,0.98,0.271,0
20,20,90,0.5,2.6,0.5,0.98,0.377,0
20,20,90,0.5,2.6,0.54,0.98,0.407,0
20,20,90,0.5,2.6,0.57,0.98,0.43,0
20,20,90,0.5,2.6,0.61,0.98,0.46,0
20,20,90,0.5,2.6,0.67,0.98,0.505,0
20,20,90,0.5,2.6,0.74,0.98,0.558,0
20,20,90,0.5,3,0.36,1.1,0.264,0
20,20,90,0.5,3,0.5,1.1,0.367,0
20,20,90,0.5,3,0.54,1.1,0.396,0
20,20,90,0.5,3,0.57,1.1,0.418,0
20,20,90,0.5,3,0.61,1.1,0.447,0
20,20,90,0.5,3,0.67,1.1,0.491,0
20,20,90,0.5,3,0.74,1.1,0.543,0
21,21,30,0.0,1.2,0.36,0.06,0.36,0
21,21,30,0.0,1.2,0.5,0.06,0.5,0
21,21,30,0.0,1.2,0.54,0.06,0.54,0
21,21,30,0.0,1.2,0.57,0.06,0.57,0
21,21,30,0.0,1.2,0.61,0.06,0.61,0
21,21,30,0.0,1.2,0.67,0.06,0.67,0
21,21,30,0.0,1.2,0.74,0.06,0.74,0
21,21,30,0.0,1.4,0.36,0.12,0.319,0
21,21,30,0.0,1.4,0.5,0.12,0.443,0
21,21,30,0.0,1.4,0.54,0.12,0.478,0
21,21,30,0.0,1.4,0.57,0.12,0.505,0
21,21,30,0.0,1.4,0.61,0.12,0.54,0
21,21,30,0.0,1.4,0.67,0.12,0.593,0
21,21,30,0.0,1.4,0.74,0.12,0.655,0
21,21,30,0.0,2,0.36,0.3,0.288,0
21,21,30,0.0,2,0.5,0.3,0.4,0
21,21,30,0.0,2,0.54,0.3,0.432,0
21,21,30,0.0,2,0.57,0.3,0.456,0
21,21,30,0.0,2,0.61,0.3,0.488,0
21,21,30,0.0,2,0.67,0.3,0.536,0
21,21,30,0.0,2,0.74,0.3,0.592,0
21,21,30,0.0,2.2,0.36,0.36,0.281,0
21,21,30,0.0,2.2,0.5,0.36,0.391,0
21,21,30,0.0,2.2,0.54,0.36,0.422,0
21,21,30,0.0,2.2,0.57,0.36,0.446,0
21,21,30,0.0,2.2,0.61,0.36,0.477,0
21,21,30,0.0,2.2,0.67,0.36,0.524,0
21,21,30,0.0,2.2,0.74,0.36,0.579,0
21,21,30,0.0,2.6,0.36,0.48,0.271,0
21,21,30,0.0,2.6,0.5,0.48,0.377,0
21,21,30,0.0,2.6,0.54,0.48,0.407,0
21,21,30,0.0,2.6,0.57,0.48,0.43,0
21,21,30,0.0,2.6,0.61,0.48,0.46,0
21,21,30,0.0,2.6,0.67,0.48,0.505,0
21,21,30,0.0,2.6,0.74,0.48,0.558,0
21,21,30,0.0,3,0.36,0.6,0.264,0
21,21,30,0.0,3,0.5,0.6,0.367,0
21,21,30,0.0,3,0.54,0.6,0.396,0
21,21,30,0.0,3,0.57,0.6,0.418,0
21,21,30,0.0,3,0.61,0.6,0.447,0
21,21,30,0.0,3,0.67,0.6,0.491,0
21,21,30,0.0,3,0.74,0.6,0.543,0
21,21,30,0.25,1.2,0.36,0.31,0.36,0
21,21,30,0.25,1.2,0.5,0.31,0.5,0
21,21,30,0.25,1.2,0.54,0.31,0.54,0
21,21,30,0.25,1.2,0.57,0.31,0.57,0
21,21,30,0.25,1.2,0.61,0.31,0.61,0
21,21,30,0.25,1.2,0.67,0.31,0.67,0
21,21,30,0.25,1.2,0.74,0.31,0.74,0
21,21,30,0.25,1.4,0.36,0.37,0.319,0
21,21,30,0.25,1.4,0.5,0.37,0.443,0
21,21,30,0.25,1.4,0.54,0.37,0.478,0
21,21,30,0.25,1.4,0.57,0.37,0.505,0
21,21,30,0.25,1.4,0.61,0.37,0.54,0
21,21,30,0.25,1.4,0.67,0.37,0.593,0
21,21,30,0.25,1.4,0.74,0.37,0.655,0
21,21,30,0.25,2,0.36,0.55,0.288,0
21,21,30,0.25,2,0.5,0.55,0.4,0
21,21,30,0.25,2,0.54,0.55,0.432,0
21,21,30,0.25,2,0.57,0.55,0.456,0
21,21,30,0.25,2,0.61,0.55,0.488,0
21,21,30,0.25,2,0.67,0.55,0.536,0
21,21,30,0.25,2,0.74,0.55,0.592,0
21,21,30,0.25,2.2,0.36,0.61,0.281,0
21,21,30,0.25,2.2,0.5,0.61,0.391,0
21,21,30,0.25,2.2,0.54,0.61,0.422,0
21,21,30,0.25,2.2,0.57,0.61,0.446,0
21,21,30,0.25,2.2,0.61,0.61,0.477,0
21,21,30,0.25,2.2,0.67,0.61,0.524,0
21,21,30,0.25,2.2,0.74,0.61,0.579,0
21,21,30,0.25,2.6,0.36,0.73,0.271,0
21,21,30,0.25,2.6,0.5,0.73,0.377,0
21,21,30,0.25,2.6,0.54,0.73,0.407,0
21,21,30,0.25,2.6,0.57,0.73,0.43,0
21,21,30,0.25,2.6,0.61,0.73,0.46,0
21,21,30,0.25,2.6,0.67,0.73,0.505,0
21,21,30,0.25,2.6,0.74,0.73,0.558,0
21,21,30,0.25,3,0.36,0.85,0.264,0
21,21,30,0.25,3,0.5,0.85,0.367,0
21,21,30,0.25,3,0.54,0.85,0.396,0
21,21,30,0.25,3,0.57,0.85,0.418,0
21,21,30,0.25,3,0.61,0.85,0.447,0
21,21,30,0.25,3,0.67,0.85,0.491,0
21,21,30,0.25,3,0.74,0.85,0.543,0
21,21,30,0.5,1.2,0.36,0.56,0.36,0
21,21,30,0.5,1.2,0.5,0.56,0.5,0
21,21,30,0.5,1.2,0.54,0.56,0.54,0
21,21,30,0.5,1.2,0.57,0.56,0.57,0
21,21,30,0.5,1.2,0.61,0.56,0.61,0
21,21,30,0.5,1.2,0.67,0.56,0.67,0
21,21,30,0.5,1.2,0.74,0.56,0.74,0
21,21,30,0.5,1.4,0.36,0.62,0.319,0
21,21,30,0.5,1.4,0.5,0.62,0.443,0
21,21,30,0.5,1.4,0.54,0.62,0.478,0
21,21,30,0.5,1.4,0.57,0.62,0.505,0
21,21,30,0.5,1.4,0.61,0.62,0.54,0
21,21,30,0.5,1.4,0.67,0.62,0.593,0
21,21,30,0.5,1.4,0.74,0.62,0.655,0
21,21,30,0.5,2,0.36,0.8,0.288,0
21,21,30,0.5,2,0.5,0.8,0.4,0
21,21,30,0.5,2,0.54,0.8,0.432,0
21,21,30,0.5,2,0.57,0.8,0.456,0
21,21,30,0.5,2,0.61,0.8,0.488,0
21,21,30,0.5,2,0.67,0.8,0.536,0
21,21,30,0.5,2,0.74,0.8,0.592,0
21,21,30,0.5,2.2,0.36,0.86,0.281,0
21,21,30,0.5,2.2,0.5,0.86,0.391,0
21,21,30,0.5,2.2,0.54,0.86,0.422,0
21,21,30,0.5,2.2,0.57,0.86,0.446,0
21,21,30,0.5,2.2,0.61,0.86,0.477,0
21,21,30,0.5,2.2,0.67,0.86,0.524,0
21,21,30,0.5,2.2,0.74,0.86,0.579,0
21,21,30,0.5,2.6,0.36,0.98,0.271,0
21,21,30,0.5,2.6,0.5,0.98,0.377,0
21,21,30,0.5,2.6,0.54,0.98,0.407,0
21,21,30,0.5,2.6,0.57,0.98,0.43,0
21,21,30,0.5,2.6,0.61,0.98,0.46,0
21,21,30,0.5,2.6,0.67,0.98,0.505,0
21,21,30,0.5,2.6,0.74,0.98,0.558,0
21,21,30,0.5,3,0.36,1.1,0.264,0
21,21,30,0.5,3,0.5,1.1,0.367,0
21,21,30,0.5,3,0.54,1.1,0.396,0
21,21,30,0.5,3,0.57,1.1,0.418,0
21,21,30,0.5,3,0.61,1.1,0.447,0
21,21,30,0.5,3,0.67,1.1,0.491,0
21,21,30,0.5,3,0.74,1.1,0.543,0
21,21,40,0.0,1.2,0.36,0.06,0.36,0
21,21,40,0.0,1.2,0.5,0.06,0.5,0
21,21,40,0.0,1.2,0.54,0.06,0.54,0
21,21,40,0.0,1.2,0.57,0.06,0.57,0
21,21,40,0.0,1.2,0.61,0.06,0.61,0
21,21,40,0.0,1.2,0.67,0.06,0.67,0
21,21,40,0.0,1.2,0.74,0.06,0.74,0
21,21,40,0.0,1.4,0.36,0.12,0.319,0
21,21,40,0.0,1.4,0.5,0.12,0.443,0
21,21,40,0.0,1.4,0.54,0.12,0.478,0
21,21,40,0.0,1.4,0.57,0.12,0.505,0
21,21,40,0.0,1.4,0.61,0.12,0.54,0
21,21,40,0.0,1.4,0.67,0.12,0.593,0
21,21,40,0.0,1.4,0.74,0.12,0.655,0
21,21,40,0.0,2,0.36,0.3,0.288,0
21,21,40,0.0,2,0.5,0.3,0.4,0
